qualtrics_id,school_code,school_name_anon,progress,duration_min,birth_country,age_cat,age,female,male,educ_mother,educ_father,educ_parent_max,has_computer,has_internet,digital_comfort,platform_use,classroom_section,math_grade_prev,like_math,like_communication,rank_math,rank_communication,mathconf_learn,mathconf_exam,mathconf_help_peers,mathconf_growth,lab_productive,lab_preferred_hours,hours_school,hours_study,hours_friends,hours_entertainment,hours_housework,hours_unpaid_work,hours_paid_work,hours_sleep,hours_sport,math_study_weekly,study_context,digital_tools_used,grit_challenge,grit_quit_game,grit_lose_interest,grit_hardwork,grit_avg,mindset_fixed1,mindset_fixed2,mindset_avg,locus_luck,locus_fate,locus_prepared,locus_plans,locus_avg,efficacy_hard_problems,efficacy_effort,efficacy_calm,efficacy_solutions,efficacy_trouble,efficacy_avg,math_enjoy,math_wish_no,math_like_problems,math_does_well,math_harder_than_peers,math_worry_grades,math_nervous_exams,math_useful,math_enjoy_avg,math_anxiety_avg,math_selfconcept_avg,meta_study_allocation,meta_when_stuck,meta_hint_use,meta_review_errors,meta_self_awareness,meta_after_mistake,meta_ai_use,meta_expected_exam,meta_actual_exam,barrier_finish_school,info_postsecondary,plan_after_school,knows_career,career_first_choice,institution_first_choice,plan_feasibility,plan_talks_with,parent_educ_expectation,enrolled_academy,belief_univ_transition,factors_career_choice,action_3months,plans_higher_ed,salary_secondary,salary_technical,salary_university,informal_secondary,informal_technical,informal_university,preferred_sector,knows_jobs_sector,barrier_money,barrier_work_family,barrier_parent_ideas,barrier_grades,barrier_info_careers,barrier_info_institution,barrier_family_resp,knows_scholarship,knows_beca18,knows_alt_training,est_years_technical,est_years_university,time_pref_100v150,time_pref_100v300,risk_pref_100v250,risk_pref_100v500,patient_low,patient_high,risk_seeking_low,risk_seeking_high,belong_outsider,belong_fits_in,belonging_avg,num_close_friends,friend1_recess,friend1_homework,friend1_future_talk,friend1_whatsapp,friend2_recess,friend2_homework,friend2_future_talk,friend2_whatsapp,friend3_recess,friend3_homework,friend3_future_talk,friend3_whatsapp,friend4_recess,friend4_homework,friend4_future_talk,friend4_whatsapp,friend5_recess,friend5_homework,friend5_future_talk,friend5_whatsapp,correct_a1,qbl_v5_a1,correct_a2,qbl_v5_a2,correct_a7,qbl_v5_a7,correct_a8,qbl_v5_a8,correct_a8m,qbl_v5_a8m,correct_a4,qbl_v5_a4,correct_a9s,qbl_v5_a9s,correct_a3,qbl_v5_a3,correct_a6,qbl_v5_a6,correct_a5,qbl_v5_a5,score_total_baseline,score_pct_baseline
R_100301abc3875,2369198,School_08,100,28.4,1,1.0,15.0,1,1,9,9.0,9,1,0,5,4,B,4,3,4,4,6,2,4,4,3,4,4,7.5,0.5,1.0,1.5,1.5,0.0,1.0,10.0,1.5,4,4,4,4,5,3,2,2.5,3,6,2.5,5,1,1,2,2.25,4,2,3,4,2,3.0,1,4,1,5,3,3,5,4,1.3333334,4.0,4.0,3,4,1,4,1,1,2,5,5,1,4,3,2,,3,5,6,4,0,7,1,,1,1536.0,2456.0,3913.0,9,0,3,9,3,5,4,2,5,5,2,5,3,3,2,4,5,2,2,3,1,1,1,0,0,5,4,2.5,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,2,0,3,0,1,0,1,0,3,1,1,0,3,0,1,0,1,0,1,1,0.1
R_100302abc8622,2369198,School_08,100,29.799999,1,3.0,17.0,1,1,1,1.0,1,0,1,1,1,C,4,3,1,9,7,1,2,3,4,5,7,7.5,2.5,4.0,0.5,0.5,0.0,0.5,7.0,1.0,3,3,2,3,2,4,5,3.5,5,3,3.0,4,5,5,1,2.25,1,4,1,4,2,2.4000001,3,2,3,4,4,5,2,4,3.3333333,3.5,3.0,4,2,1,2,1,1,2,2,2,1,4,3,1,,1,5,6,2,0,7,2,,1,771.0,884.0,,1,3,9,10,1,1,3,5,3,3,1,5,2,3,3,4,7,2,2,1,3,1,1,0,0,5,3,2.0,5,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,2,0,3,0,2,1,2,0,1,1,1,1,3,1,1,1,4,0,3,6,0.60000002
R_100303abc9942,2369198,School_08,100,35.0,1,2.0,16.0,0,0,4,4.0,4,1,1,2,1,D,4,2,2,2,10,3,4,3,3,1,6,7.0,0.5,3.0,4.0,1.5,0.0,3.0,7.0,1.0,3,4,1,4,5,1,4,3.5,6,3,2.5,4,5,2,4,2.25,1,4,1,2,2,2.0,2,2,5,2,5,2,1,4,3.6666667,1.5,1.5,4,1,1,3,1,2,1,5,3,1,4,4,3,,3,3,6,4,0,9,3,,1,,1336.0,2313.0,9,6,8,5,3,1,5,5,3,4,1,1,1,1,1,3,6,3,1,1,1,0,0,0,0,5,1,1.0,2,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,2,1,1,0,1,1,2,1,1,1,1,1,3,1,1,0,2,0,4,7,0.69999999
R_100304abc420,2369198,School_08,100,22.6,1,1.0,15.0,1,1,10,,10,1,1,2,2,E,4,3,3,8,10,1,4,2,2,1,8,7.0,2.0,3.5,5.0,3.5,0.5,1.5,8.0,2.0,3,2,3,5,3,4,5,3.75,2,2,5.0,3,1,1,5,3.5,1,1,1,2,1,1.2,5,1,4,5,1,3,2,1,4.6666665,2.5,5.0,3,4,1,2,3,1,3,1,4,2,3,2,2,,3,3,1,2,0,8,2,,1,,,4068.0,1,6,6,6,3,5,2,4,4,4,2,5,3,2,2,5,6,1,2,3,1,0,1,0,0,5,5,3.0,6,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,2,1,2,1,1,0,1,1,3,0,1,1,4,1,1,7,0.69999999
R_100305abc4377,2369198,School_08,100,24.700001,1,2.0,16.0,0,0,6,9.0,9,1,0,4,1,A,2,1,2,2,9,2,3,1,2,3,8,7.5,4.5,3.5,2.5,1.0,0.0,0.0,7.5,0.0,3,2,3,1,5,4,2,1.5,6,4,2.0,1,4,4,3,3.5,1,2,2,4,3,2.4000001,2,2,5,3,2,5,1,4,3.6666667,3.0,3.5,1,1,1,3,1,4,4,1,4,1,4,5,2,,3,5,6,1,1,7,7,,0,607.0,1272.0,2568.0,2,2,9,4,2,2,2,1,2,3,1,3,3,1,2,4,7,3,1,1,3,0,0,0,0,1,2,3.5,5,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,2,0,4,0,3,0,3,0,4,0,3,1,1,2,0.2
R_100306abc4044,2369198,School_08,100,37.5,1,,,1,1,12,3.0,12,1,0,5,2,B,1,2,1,1,1,2,3,1,4,3,6,6.0,0.5,2.5,1.0,2.0,0.5,2.5,7.5,1.5,2,2,5,3,3,3,3,3.0,4,1,4.5,4,2,4,5,3.75,3,2,1,4,3,2.5999999,2,1,5,1,4,2,2,2,4.0,2.0,1.5,2,1,1,2,1,3,1,5,3,1,4,2,1,,2,5,4,2,0,9,2,,1,806.0,1958.0,,7,7,6,2,1,4,5,3,5,1,2,3,1,2,3,3,6,2,3,1,2,1,0,0,1,1,5,5.0,3,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,3,0,1,0,2,1,1,0,3,0,1,0,3,0,3,0,1,1,0.1
R_100307abc4355,2369198,School_08,100,36.400002,1,,,0,0,1,7.0,7,0,1,2,2,C,2,3,1,1,4,2,1,4,4,4,8,7.0,2.0,1.5,1.5,1.5,0.0,1.0,8.0,0.5,4,3,2,5,5,4,2,2.5,5,3,3.0,1,4,1,1,2.25,1,2,2,2,4,2.2,1,4,3,1,2,2,1,3,2.0,1.5,2.5,4,2,4,4,1,1,3,5,2,1,1,5,2,,1,5,1,4,0,10,4,,0,523.0,,3142.0,6,10,9,7,1,2,1,4,5,5,3,2,3,2,3,4,5,1,3,3,3,0,0,0,0,2,2,3.0,4,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,2,1,2,1,1,1,1,0,3,0,3,0,2,0,4,4,0.40000001
R_100308abc5969,2369198,School_08,100,41.799999,1,2.0,16.0,1,1,8,,8,0,1,2,1,D,4,4,4,4,4,3,1,2,2,4,3,6.0,0.0,2.5,5.0,1.5,0.5,1.5,8.5,0.5,2,4,3,2,4,2,4,3.0,5,6,1.5,3,4,4,1,2.5,1,1,2,3,2,1.8,1,3,5,3,3,4,3,4,3.0,3.5,3.0,2,1,2,2,3,1,4,4,5,1,2,3,2,,4,2,2,4,1,8,6,,1,1189.0,1484.0,3434.0,5,3,1,3,1,1,2,5,5,4,2,1,3,2,2,2,4,2,2,1,2,1,1,0,1,1,1,3.0,3,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,0,1,0,1,0,2,1,1,1,1,0,1,0,4,0,1,1,1,4,0.40000001
R_100309abc5526,2369198,School_08,100,50.5,1,2.0,16.0,1,1,6,,6,1,1,4,3,E,3,2,3,2,2,4,1,2,1,2,6,5.5,2.5,2.0,2.0,0.5,0.0,1.5,8.0,0.5,5,2,1,4,5,1,1,2.75,1,3,5.0,1,3,4,1,3.25,1,4,3,4,2,2.8,1,3,2,4,3,5,5,3,2.0,5.0,3.5,2,4,4,3,2,4,1,2,4,1,2,5,3,,5,5,1,3,0,10,6,,0,958.0,709.0,2791.0,6,1,5,9,2,3,5,1,4,5,4,1,1,2,3,5,7,1,2,2,2,0,1,1,1,5,3,2.0,5,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,2,1,1,0,1,1,2,1,1,1,1,1,3,1,1,1,4,1,1,9,0.89999998
R_100310abc2565,2369198,School_08,100,40.700001,1,1.0,15.0,1,1,3,3.0,3,0,1,1,4,A,3,3,3,5,5,2,1,1,2,1,6,8.5,1.0,2.0,0.5,2.5,0.5,1.5,8.0,0.0,4,3,5,1,5,4,1,1.25,2,1,5.5,1,5,3,3,3.0,4,3,3,4,2,3.2,2,2,1,3,3,5,5,2,2.3333333,5.0,3.0,4,1,3,2,2,1,3,1,2,1,5,3,1,,5,3,2,3,0,6,3,,1,1015.0,1910.0,2707.0,1,6,2,9,3,5,2,1,1,4,2,3,3,3,2,5,5,2,3,1,1,1,0,0,0,3,4,3.5,2,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,3,0,1,1,2,1,1,1,1,0,3,1,1,0,1,1,1,5,0.5
R_100311abc5984,5829932,School_09,100,23.799999,1,0.0,17.0,1,1,4,8.0,8,0,1,2,1,B,2,2,3,15,6,3,1,4,4,3,2,8.0,2.5,1.5,2.5,0.5,0.0,0.0,7.0,1.5,5,3,5,1,5,3,2,1.75,2,4,4.0,5,3,4,3,2.75,4,2,3,3,1,2.5999999,1,5,2,2,1,1,1,4,1.3333334,1.0,3.5,1,3,1,4,1,1,1,2,3,2,2,4,3,,4,1,2,1,0,1,6,,1,1121.0,,3736.0,1,1,6,9,1,3,5,3,3,2,2,5,3,3,2,2,4,2,3,2,1,1,0,1,0,1,2,3.5,4,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,2,0,4,0,1,0,1,1,1,1,1,0,1,1,1,1,4,0,3,5,0.5
R_100312abc2463,5829932,School_09,100,41.799999,1,2.0,16.0,0,0,10,8.0,10,0,0,3,4,C,4,4,1,1,7,3,4,3,1,5,1,7.0,2.0,3.5,3.0,0.5,1.5,1.0,9.5,1.5,1,4,5,4,4,4,2,2.5,5,5,2.0,3,5,2,3,2.25,3,1,3,3,4,2.8,3,4,3,2,1,2,5,4,2.6666667,3.5,3.5,4,4,4,1,2,4,3,1,3,1,5,3,1,,5,4,6,1,0,9,4,,1,1567.0,2714.0,3518.0,5,9,7,7,1,3,4,5,5,5,4,3,3,1,3,4,5,1,1,2,2,0,0,1,1,5,4,2.5,4,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,2,0,3,0,2,1,2,0,3,0,3,0,1,1,1,0,1,1,1,3,0.30000001
R_100313abc3161,5829932,School_09,100,30.299999,1,1.0,15.0,1,1,9,1.0,9,0,0,5,1,D,2,1,3,2,10,1,3,2,4,4,4,5.0,2.0,1.5,5.5,1.0,1.0,1.5,9.0,2.5,5,2,3,1,4,2,5,3.0,3,1,5.0,1,4,4,4,3.75,3,3,4,4,3,3.4000001,5,5,2,4,4,3,2,4,2.6666667,2.5,3.0,3,1,3,2,1,3,3,2,3,1,1,5,1,,1,4,3,3,0,7,7,,0,1025.0,1825.0,2441.0,6,2,3,3,1,3,1,4,2,1,5,5,3,2,2,4,4,1,3,1,3,0,0,0,0,1,1,3.0,5,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,2,0,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,8,0.80000001
R_100314abc7098,5829932,School_09,100,35.0,1,1.0,15.0,0,0,6,4.0,6,0,1,1,3,E,4,4,3,7,10,4,2,3,3,1,8,6.5,3.0,2.0,4.0,0.5,0.0,1.0,6.5,1.0,5,4,4,4,4,2,3,3.25,4,1,4.5,3,3,4,2,3.0,4,2,2,3,4,3.0,4,1,1,3,3,4,3,3,3.3333333,3.5,3.0,2,1,4,2,2,1,2,2,5,1,2,2,3,,5,1,1,1,0,1,2,,1,1480.0,,3313.0,8,1,0,8,3,3,5,1,3,3,1,1,3,1,2,3,7,3,1,1,2,0,0,0,1,2,1,2.5,6,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,2,0,1,1,1,1,1,1,3,1,1,1,4,0,1,8,0.80000001
R_100315abc314,5829932,School_09,100,52.700001,1,2.0,16.0,0,0,8,1.0,8,1,1,3,1,A,4,3,4,1,10,4,4,1,1,1,2,6.5,2.0,2.5,4.0,2.0,0.5,1.5,10.0,2.0,3,4,5,5,4,5,5,3.25,2,6,3.0,2,4,3,2,2.75,4,3,2,1,2,2.4000001,5,5,4,3,1,4,4,1,3.3333333,4.0,4.0,3,3,3,4,1,1,1,3,4,1,1,3,3,,2,5,2,2,0,0,4,,1,1388.0,,1815.0,3,10,5,1,2,4,4,1,3,5,1,2,3,1,1,2,4,2,1,3,2,1,0,0,1,2,4,4.0,3,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,2,0,1,0,2,0,1,0,1,0,3,0,3,1,1,1,4,1,1,3,0.30000001
R_100316abc311,5829932,School_09,100,20.799999,1,3.0,17.0,1,1,3,7.0,7,1,0,1,3,B,3,4,1,9,8,2,3,3,2,5,7,7.5,3.0,2.0,3.5,1.5,0.0,0.5,8.0,0.0,5,3,5,1,3,3,1,2.0,6,3,2.5,3,1,2,2,3.0,4,4,1,1,2,2.4000001,3,4,1,2,3,2,2,2,2.0,2.0,2.5,3,1,4,3,3,2,2,4,2,2,1,1,2,,1,2,1,2,0,1,3,,0,1163.0,1925.0,,2,2,1,9,2,4,1,5,2,3,5,4,2,1,1,5,7,3,3,3,2,0,0,0,1,2,1,2.5,3,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,2,0,3,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,9,0.89999998
R_100317abc6522,5829932,School_09,100,17.799999,1,1.0,15.0,0,0,1,,1,0,1,4,4,C,4,3,1,2,9,2,2,3,4,3,4,7.0,1.0,2.0,3.0,0.5,0.5,0.5,8.5,1.0,3,1,2,4,4,4,2,2.5,3,2,4.5,4,3,5,1,2.75,3,3,1,3,4,2.8,1,3,3,2,5,2,1,2,2.3333333,1.5,1.5,4,3,3,4,3,2,4,2,5,2,3,3,1,,5,2,1,2,1,1,5,,1,598.0,1693.0,3707.0,8,9,9,8,1,5,4,2,4,3,4,3,1,2,2,3,4,2,3,2,2,1,0,1,1,2,5,4.5,6,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,2,0,1,1,2,1,2,0,1,1,1,1,3,1,1,1,4,0,4,7,0.69999999
R_100318abc8600,5829932,School_09,100,27.0,1,3.0,17.0,1,1,1,4.0,4,1,1,3,2,D,1,3,4,4,8,3,1,4,1,5,5,7.5,2.0,2.0,6.0,0.5,1.0,0.0,8.0,1.0,1,2,1,2,2,1,5,4.0,1,5,4.0,1,2,3,3,3.75,1,2,2,4,4,2.5999999,2,5,4,4,4,4,5,2,2.3333333,4.5,3.0,1,1,1,3,3,2,3,4,4,1,4,2,2,,1,4,2,3,0,1,3,,1,1869.0,,1788.0,7,7,8,2,3,4,4,3,5,3,4,4,3,1,2,5,7,3,2,2,2,0,1,1,1,1,2,3.5,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,4,1,1,10,1.0
R_100319abc8037,5829932,School_09,100,44.599998,1,3.0,17.0,0,0,10,2.0,10,1,0,2,1,E,3,3,4,4,10,4,1,1,2,5,4,8.0,2.0,0.5,2.0,0.5,0.5,1.5,9.0,0.5,4,3,4,2,5,5,1,1.25,1,6,3.5,4,1,4,4,3.75,4,3,1,1,2,2.2,5,2,3,5,1,3,2,2,4.0,2.5,5.0,4,1,3,3,1,4,4,5,4,2,1,2,1,,2,4,4,1,1,1,2,,1,1425.0,2030.0,5133.0,7,6,1,8,1,1,3,4,5,2,1,1,1,2,2,3,4,1,3,1,2,0,0,0,1,1,3,4.0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1,1,1,3,0,1,1,4,1,1,8,0.80000001
R_100320abc8626,5829932,School_09,100,44.099998,1,2.0,16.0,0,0,10,8.0,10,0,1,3,3,A,4,1,1,6,4,1,2,1,1,3,7,7.5,3.5,2.5,4.0,1.5,0.0,0.0,7.5,1.0,2,2,2,2,5,2,4,2.75,3,3,4.0,1,4,1,1,2.25,3,3,2,3,4,3.0,3,2,5,3,3,4,5,3,4.0,4.5,3.0,1,1,3,1,1,2,1,3,1,1,4,5,3,,2,5,6,4,1,6,7,,0,1559.0,2032.0,4075.0,6,10,8,2,2,5,5,5,2,2,3,1,1,1,2,4,5,1,1,1,1,0,0,0,0,1,1,3.0,6,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,2,0,3,1,2,1,2,1,1,1,1,0,1,1,1,1,4,1,1,7,0.69999999
R_100321abc3799,5829932,School_09,100,49.299999,1,3.0,17.0,1,1,4,4.0,4,1,1,1,3,B,2,2,1,6,6,2,2,3,2,1,4,7.0,2.0,4.0,3.5,1.5,0.0,1.0,8.5,1.0,5,4,5,1,3,3,4,2.75,3,2,4.5,1,5,3,3,3.0,2,4,4,1,2,2.5999999,1,5,5,4,4,3,5,2,2.3333333,4.0,3.0,2,4,4,2,2,1,2,5,2,1,4,5,1,,2,5,5,3,0,3,1,,0,,1623.0,2168.0,7,2,3,8,3,1,4,5,1,5,3,3,2,1,3,3,4,3,1,2,2,0,0,1,1,5,3,2.0,5,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,4,1,2,1,2,1,1,1,1,1,3,1,1,0,3,0,3,6,0.60000002
R_100322abc8025,5829932,School_09,100,62.099998,1,2.0,16.0,1,1,5,9.0,9,1,1,2,3,C,2,4,3,4,1,2,1,3,4,4,1,6.0,4.5,2.0,1.0,1.5,0.5,1.5,6.5,1.0,5,4,4,4,5,1,3,3.25,4,5,2.5,1,5,5,3,3.5,3,1,2,1,3,2.0,4,5,4,1,1,3,5,2,3.0,4.0,3.0,3,4,2,1,2,1,4,5,1,1,2,5,1,,5,3,1,4,0,1,3,,0,576.0,1552.0,3796.0,4,5,1,1,2,5,5,1,3,2,3,2,3,2,3,2,6,2,2,3,3,1,1,0,0,3,5,4.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,4,0,2,0,1,0,1,0,4,0,2,1,1,0,1,0,1,1,0.1
R_100323abc7037,5829932,School_09,100,41.799999,1,4.0,18.0,0,0,8,9.0,9,1,1,4,1,D,2,2,4,6,10,3,2,3,4,2,8,6.0,2.5,1.5,4.5,1.0,1.5,0.0,7.0,1.0,3,1,5,5,5,1,1,3.0,2,4,4.0,1,2,2,3,3.5,4,2,3,2,2,2.5999999,1,2,3,2,3,4,2,2,2.6666667,3.0,2.5,2,2,2,1,2,3,4,5,3,1,5,3,1,,1,1,6,3,0,7,3,,1,1251.0,1917.0,,7,2,6,10,1,3,1,4,1,4,3,2,1,2,2,3,7,2,1,3,2,1,0,0,1,3,2,2.5,3,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,1,1,1,0,3,1,1,8,0.80000001
R_100324abc8348,5829932,School_09,100,38.599998,1,2.0,16.0,1,1,5,5.0,5,1,0,3,3,E,3,3,4,1,5,3,2,3,1,5,3,8.0,2.0,1.0,4.0,0.5,0.0,0.0,8.0,0.0,3,3,3,1,5,4,5,2.25,4,6,2.0,1,2,4,1,3.5,3,1,3,2,2,2.2,4,4,1,5,3,1,4,3,2.3333333,2.5,4.0,3,4,4,3,3,3,3,3,2,2,3,4,1,,5,1,4,4,0,10,1,,1,947.0,2109.0,1205.0,8,1,0,9,3,1,3,5,3,2,1,4,2,1,2,3,4,1,2,2,3,0,1,1,0,3,4,3.5,6,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,2,0,1,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,2,0.2
R_100325abc8695,5829932,School_09,100,28.1,1,1.0,15.0,1,1,4,8.0,8,0,1,1,4,A,4,4,1,9,8,1,2,4,2,2,4,8.0,2.5,3.5,3.5,2.0,0.0,0.0,7.0,0.0,4,1,2,1,3,5,3,2.0,5,2,3.5,1,3,3,1,3.0,1,3,2,2,1,1.8,4,1,2,1,1,1,1,1,3.6666667,1.0,3.0,4,1,2,1,1,1,3,5,3,1,1,4,3,,5,2,2,2,0,8,6,,1,311.0,1514.0,3202.0,6,9,8,4,1,5,2,3,4,3,4,1,3,2,2,5,4,1,1,3,3,0,0,0,0,4,2,2.0,4,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,3,0,4,0,2,1,1,4,0.40000001
R_100326abc4569,5829932,School_09,100,16.5,1,4.0,18.0,0,0,8,3.0,8,1,0,2,2,B,1,4,3,9,10,1,4,1,2,3,1,7.0,1.0,1.5,1.5,1.0,0.5,1.5,7.5,0.0,3,4,2,2,3,1,2,3.0,2,1,5.5,4,5,4,2,2.25,1,3,3,2,3,2.4000001,2,4,5,4,1,1,3,2,3.0,2.0,4.5,4,3,2,1,3,4,4,1,2,1,4,1,2,,4,5,1,4,0,6,4,,0,699.0,,,7,9,8,8,3,2,2,4,1,5,2,2,3,3,2,2,4,2,1,2,2,1,0,1,1,2,4,4.0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,0,1,0,1,0,2,0,4,0,3,0,2,0,4,1,4,0,1,1,0.1
R_100327abc2780,5829932,School_09,100,22.6,1,3.0,17.0,0,0,10,7.0,10,1,0,2,3,C,2,4,2,4,7,4,2,2,1,3,2,6.0,1.5,2.0,0.0,2.5,0.0,0.0,7.0,2.0,5,2,1,5,5,5,5,3.0,5,4,2.5,2,1,1,4,3.5,3,3,2,3,4,3.0,3,1,2,2,3,3,1,1,3.3333333,2.0,2.5,1,4,4,3,3,4,2,5,2,1,2,2,1,,5,3,4,3,0,3,2,,1,1116.0,1314.0,3740.0,1,7,5,8,3,5,1,2,1,3,4,4,2,3,3,2,5,1,3,3,3,0,0,0,0,5,3,2.0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,2,0,1,1,2,0,1,0,4,0,1,0,2,0,3,0,2,1,1,3,0.30000001
R_100328abc5916,5829932,School_09,100,57.599998,1,2.0,16.0,1,1,5,12.0,12,0,0,3,3,D,2,1,4,9,7,4,2,2,3,5,1,6.5,2.5,3.5,2.5,1.0,0.0,0.5,7.5,1.0,2,1,3,1,3,2,2,2.5,3,1,5.0,3,3,4,3,3.25,2,1,3,1,1,1.6,3,3,4,2,3,2,3,4,3.3333333,2.5,2.5,2,1,3,3,3,1,2,1,1,1,3,2,1,,3,3,1,2,0,5,8,,1,,,3014.0,5,3,6,1,3,3,4,1,3,1,1,5,1,1,2,3,6,1,3,3,3,0,0,0,0,2,5,4.5,5,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,2,1,1,1,2,0,1,1,1,0,4,1,3,1,1,0,1,0,4,6,0.60000002
R_100329abc8172,5829932,School_09,100,44.5,1,1.0,15.0,0,0,9,10.0,10,0,1,2,3,E,4,3,2,9,4,3,2,2,1,4,7,7.5,5.0,3.0,3.5,1.0,0.0,0.0,7.0,1.5,4,1,2,2,4,2,1,2.25,3,1,5.0,5,5,4,5,2.75,4,2,3,4,3,3.2,4,5,2,2,1,4,2,4,2.3333333,3.0,3.5,4,3,4,4,1,2,2,5,2,1,1,5,2,,3,3,5,3,0,2,5,,0,1435.0,1050.0,2187.0,10,1,4,7,1,4,3,3,5,1,3,5,1,3,2,5,6,1,1,2,2,0,0,1,1,3,3,3.0,4,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,0,3,0,1,0,1,1,1,0,4,0,1,0,3,0,3,0,1,2,0.2
R_100330abc2604,5829932,School_09,100,47.400002,1,1.0,15.0,0,0,4,9.0,9,1,1,4,2,5to A,3,2,1,9,3,4,4,3,2,3,3,6.5,1.5,1.0,6.5,2.0,0.5,0.0,7.5,1.5,2,3,1,3,3,3,4,3.25,4,4,3.0,2,3,1,5,3.25,2,1,2,3,1,1.8,3,5,4,2,1,4,4,2,2.6666667,4.0,3.5,1,3,3,1,1,3,3,4,2,1,1,1,3,,4,5,3,4,0,1,5,,0,1357.0,2352.0,2593.0,5,9,3,5,1,2,1,4,4,5,4,5,2,3,2,3,5,3,1,1,1,0,0,0,0,2,1,2.5,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,0,4,1,2,1,2,1,1,1,1,1,3,0,3,0,3,0,3,6,0.60000002
R_100331abc2510,5829932,School_09,100,41.400002,1,3.0,17.0,1,1,8,6.0,8,1,1,5,3,B,2,4,4,7,6,3,1,1,3,1,7,7.5,2.0,2.5,3.0,1.0,0.0,0.0,7.0,0.5,3,2,3,2,5,2,3,2.5,1,3,5.0,2,1,5,4,4.5,3,4,1,3,2,2.5999999,5,4,3,1,2,4,1,4,3.3333333,2.5,2.5,3,1,1,4,3,2,2,5,4,2,4,4,3,,3,4,5,3,0,1,4,,1,1053.0,1747.0,3184.0,4,5,1,1,3,3,4,5,4,2,1,2,3,3,2,5,7,3,2,1,2,0,1,0,1,4,2,2.0,4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,2,0,1,1,2,1,2,0,3,1,1,1,3,1,1,1,4,0,4,7,0.69999999
